name,class,class_detail,subtype,domain_detail,dynamics,layers,real_stack,real_stack_detail,scale,inputs,outputs,language,license,maintenance,maintenance_detail,last_activity,url,publication,contact,notes,source,added,verified,domains
DtnSim,Simulator,,Bundle-level discrete-event (OMNeT++),Deep space DTN,Contact plan files (mobility precomputed externally),Contacts; DTN routing (real ION 3.5.0 CGR on support-ion branch); bundle traffic,partial,Partially (ION CGR flight code inside simulator),Typical DTN topologies (no published limits),Contact plans + INI configs,OMNeT++ scalar/vector statistics,C++ (OMNeT++),MIT,active,Yes (last activity 2026-06; beta),2026-06,https://gitlab.inria.fr/jfraire/dtnsim,IEEE SMC-IT 2017,Madoery; Fraire (LCD-UNC/Inria),Distinguishing feature: runs real ION CGR code in simulation,dagstuhl,2026-07,2026-07,Deep space / DTN
ebpf-trace-emu,Emulator,,Trace-driven link emulation (eBPF),LEO broadband (Starlink; method generic),N/A (measured traces not orbits),Link only (delay via EDT qdisc; loss via XDP); real stack above,yes,Yes (Linux kernel),Single link; 10k+ trace entries at 10ms granularity,Text trace files (irtt JSON converter included),Live emulated link; measure via irtt/iperf3,Python + C,None (UNKNOWN),active,Yes (last push 2026-06; 4 stars),2026-06,https://github.com/yeliqseu/ebpf-trace-emu,IEEE Networking Letters 2024/25,Ye Li (Southeast Univ.),Replays measured Starlink dynamics rather than modeled geometry,dagstuhl,2026-07,2026-07,LEO
ESA PhiSat-2,In-orbit platform,,6U CubeSat running uploadable AI apps (NMF),Onboard AI / in-orbit computing,N/A,Multispectral imager + AI accelerator; app management via open-source NanoSat MO Framework,yes,Yes,1 CubeSat (launched 2024-08),Apps via ESA / NMF,Experiment results,Java (NMF open source),NMF open source; access via ESA,active,Yes (routine ops since mid-2025),2026,https://www.esa.int/Applications/Observing_the_Earth/Phsat-2,ESA Phi-lab pages,ESA Phi-lab / Open Cosmos,realistic external path to software on orbit; CCSDS-MO app layer networking-relevant,sweep,2026-07,2026-07,Orbital compute
ESTNeT,Simulator,,OMNeT++/INET space-terrestrial + spacecraft subsystems,Smallsat networks,Orbit models (OMNeT++ framework),Network + power and attitude subsystem models,no,No,Smallsat constellations,OMNeT++ configs,OMNeT++ results,C++,Open source,inactive,No (dormant since ~2021),2021,https://github.com/estnet-framework/estnet,CEAS Space Journal 2020,Univ. Wuerzburg,only OMNeT++ framework with spacecraft subsystem models; beside OS3/FLoRaSat,sweep,2026-07,2026-07,Other
FLoRaSat,Simulator,,Packet-level discrete-event (OMNeT++),IoT direct-to-satellite (LoRa),Keplerian params; Walker Star/Delta; SGP4 (leosatellites/OS3); TLE in development,Full LoRa PHY; LoRaWAN MAC (Class A/B/S; FSA); ISLs; routing (v2),no,No (INET protocol models),16 sats + up to 1500 ground IoT nodes in samples,OMNeT++ NED/INI configs,OMNeT++ scalar/vector results,C++ (OMNeT++),LGPL-3.0,active,Yes (last activity 2026-06; ANR STEREO),2026-06,https://gitlab.inria.fr/jfraire/florasat,WoWMoM 2022; IJSCN 2025 (FLoRaSat 2),Juan A. Fraire (Inria),Under active development; not a stable documented release,dagstuhl,2026-07,2026-07,IoT
From GEO to LEO in-flight dataset,Dataset / data,,Starlink aviation connectivity measurements,Aeronautical mobility,n/a,In-flight Starlink versus GEO comparison,na,,Flight campaigns,n/a,Dataset in repository,n/a,Not stated,active,Published 2025,2025,https://github.com/comnetsAD/From_GEO_to_LEO_IMC2025,ACM IMC 2025,NYUAD ComNets,Public in-flight Starlink measurement dataset.,sweep,2026-07,2026-07,LEO
HDTN,Implementation,,High-rate multi-Gbps modular BP stack,Near-Earth high-rate DTN,JSON contact plans; scheduler module,BPv6+v7; BPSec; LTP/TCPCLv3-v4/UDP/STCP; CGR-based routing,yes,Yes,Multi-Gbps demonstrated,JSON contact plans; config,Bundle traffic; stats,C++,NASA NOSA 1.3,low,Yes-ish (v2.0.0 2025-09),2025-09,https://github.com/nasa/HDTN,RFC 9171; WiSEE/SmallSat papers,NASA Glenn,reference for throughput-bound DTN; orders of magnitude faster than ION,sweep,2026-07,2026-07,Deep space / DTN
Horizon,Dataset / data,,Global Starlink performance analysis and prediction,Starlink measurement and ML prediction,n/a,Cloudflare AIM and M-Lab NDT7 pipeline; latency and throughput prediction models,na,,"Global (reported MAE 17.8 ms latency, 25.6 Mbps throughput)",n/a,Code and data pipeline,Python,Not stated,active,Published 2026,2026,https://github.com/SPEAR-Research-Lab/Horizon-Predicting-Starlink-Performance,ACM SIGMETRICS 2026,"SPEAR lab, TU Delft (Shreedhar, Mohan)",Global-scale Starlink performance model with a released pipeline.,sweep,2026-07,2026-07,LEO
Hypatia,Simulator,,Packet-level discrete-event (ns-3),LEO broadband,Parametric shells (Starlink/Kuiper/Telesat presets) + SGP4,ISL topology; GSL; precomputed routing; ns-3 transport/app models,no,No (ns-3 abstract stacks),"~1,584+ sats (Starlink shell-1); 5-shell generation",Parametric constellation configs; ground station lists,Routing state files; RTT/throughput traces; CesiumJS 3D viz,Python + C++,Mixed: satgenpy MIT; ns3-sat-sim GPLv2; satviz MIT,inactive,No (last push 2024-05; 505 stars; de facto baseline),2024-05,https://github.com/snkas/hypatia,ACM IMC 2020,ETH Zurich (Kassing; Bhattacherjee; Singla),Widely forked baseline (159 forks); routing precomputed offline not reactive,dagstuhl,2026-07,2026-07,LEO
IBR-DTN,Implementation,,Legacy embedded BPv6 stack,Terrestrial/embedded DTN,IP neighbor discovery; opportunistic,BPv6 only; TCPCL/UDP/LoWPAN/Bluetooth CLAs; epidemic/PRoPHET,yes,Yes,OpenWrt/Android-class devices,Config,Bundle traffic,C++,Apache-2.0,inactive,No (last commit 2024-10; flagged outdated by IPNSIG),2024-10,https://github.com/ibrdtn/ibrdtn,RFC 5050; CHANTS 2008,TU Braunschweig,historically dominant BPv6 stack; mark legacy/BPv6-only,sweep,2026-07,2026-07,Deep space / DTN
ion-core,Implementation,,Streamlined flight-ready ION subset,Deep space DTN,Contact plans,BPv7 core; selected CLAs; CGR,yes,Yes,Embedded/flight targets,Contact plans; config,Bundle traffic,C,Caltech open source,active,Yes (pushed 2026-04),2026-04,https://github.com/nasa-jpl/ion-core,RFC 9171,NASA JPL,hardened ION packaging for flight infusion,sweep,2026-07,2026-07,Deep space / DTN
ION-DTN,Implementation,,NASA JPL reference BP/DTN stack,Deep space DTN,Contact plans (ionrc format),BPv6+BPv7; BPSec; LTP/TCPCL/STCP/UDP/BSSP CLAs; full CGR/SABR,yes,Yes,Flight-proven (ISS); de facto standard,Contact plans; config,Real bundle traffic; logs,C,Caltech BSD-style,active,Yes (4.2.0-b 2026-07; pushed 2026-07-07),2026-07,https://github.com/nasa-jpl/ION-DTN,RFC 5050/9171; CCSDS SABR,NASA JPL,the most-used BP/CGR implementation; nearly every DTN paper benchmarks against it,sweep,2026-07,2026-07,Deep space / DTN
IONE,Implementation,,Community ION fork with experimental features,Deep space DTN,Contact plans,BPv6/v7; ION CLAs; CGR + inter-regional forwarding,yes,Yes,Research deployments,Contact plans,Bundle traffic,C,ION-derived,low,Moderate (v1.1.0 2025-06),2025-06,https://sourceforge.net/projects/ione/,RFC 9171; inter-regional drafts,Scott Burleigh / SolarNetOne,where post-JPL Burleigh-lineage features (inter-regional routing) land first,sweep,2026-07,2026-07,Deep space / DTN
IPN-V,Visualizer,,Unity 3D interplanetary network visualization,Deep space DTN,JSON scenarios from IPN-g (ESA GODOT) or IPN-d (built-in designer),Topology; contacts; occlusions; bundle flows (visual only),no,No,Solar-system scenarios (Earth-Mars),JSON scenario folders,Interactive 3D; ION/HDTN contact plan export,C# (Unity),None in repo (UNKNOWN),active,Yes (last activity 2026-07),2026-07,https://gitlab.inria.fr/jfraire/ipn-v,IEEE SMC-IT 2024,Inria + ESA/ESOC (Fraire; Flentge),IPN-g restricted to ESA member-state citizens; demo at ipnv.net on request,dagstuhl,2026-07,2026-07,Deep space / DTN
IPNSIG PWG testbed,Testbed,,Volunteer global multi-implementation BP testbed,Interplanetary DTN interop,Real Internet links + scheduled contact plans,ION/uD3TN/HDTN/DTNME/Unibo-BP interop; BPv6/v7,yes,Yes,Global volunteer nodes (JPL; GRC; APL; universities),Join via IPNSIG PWG,Interop reports,N/A,Open community,active,Yes (PWG site maintained),2026,https://ipnsig-pwg.github.io/,RFC 9171 interop reports,IPNSIG Projects WG,the only open join-able multi-implementation BP testbed,sweep,2026-07,2026-07,Deep space / DTN
Komet,Research platform,Platform,Serverless LEO edge (FaaS + replicated data),LEO edge computing,Inherited from Celestial (SGP4 microVMs),FaaS runtime (tinyFaaS) + data replication (FReD) + scheduler,yes,Yes (real code in microVMs),Celestial-scale scenarios,Celestial configs,Experiment results,Go/Python,Open source (parts GPLv3),low,Marginal (artifact 2024-25),2025,https://github.com/3s-rg/komet,ACM SoCC 2024,TU Berlin 3S (Pfandzelter),reference artifact for serverless LEO orchestration; companion to Celestial,sweep,2026-07,2026-07,LEO; Orbital compute
Krios,Research platform,Platform,K8s orchestration for LEO compute (+ emulated testbed),LEO edge computing,Ground-side orbital position computation (details undocumented),Orchestration/scheduling over emulated latencies; real K8s/Docker,yes,Yes (real K8s cluster),~6 physical nodes demonstrated,YAML scenarios; IP mappings,Scheduling/handoff latency logs,Python,GPL-3.0,low,Low (last push 2026-04; 7 stars),2026-04,https://github.com/GTkernel/krios,ACM SoCC 2024,Georgia Tech (GTkernel),Compute orchestration not network simulation; simplified latency model,dagstuhl,2026-07,2026-07,LEO; Orbital compute
LENS Dataset,Dataset / data,Dataset,Longitudinal latency/loss measurements,LEO broadband (Starlink + some OneWeb),N/A,IRTT/ping latency; loss; jitter; dish gRPC diagnostics,na,N/A,18+ sites; ~20 TB since Nov 2023,N/A,JSON (IRTT); ping logs; processed CSV,Python tooling,Code GPL-3.0; data CC BY-SA 4.0,active,Yes (monthly Zenodo + weekly portal snapshots),2026-06,https://github.com/clarkzjw/LENS,ACM MMSys 2024,Jinwei Zhao / Jianping Pan (UVic PanLab),Canonical dataset of CCC-LEO testbed; 6000+ Zenodo downloads,dagstuhl,2026-07,2026-07,LEO
LEO-HitchHiking,Measurement,Measurement methodology,Internet scanning via exposed services,LEO broadband (Starlink/OneWeb),N/A,TTL-limited pings over satellite hop,na,N/A,Global; running since 2023,Censys API/BigQuery discovery,Public Google BigQuery tables,Python,Apache-2.0,active,Yes (cron collection ongoing; 33 stars),2025-03,https://github.com/stanford-esrg/LEO_HitchHiking,ACM SIGMETRICS 2024,Stanford ESRG (Izhikevich),Terminal-free global measurement; foundation of Roman-HitchHiking,dagstuhl,2026-07,2026-07,LEO
LeoCC,Implementation,,Congestion control for LEO dynamics,LEO satellite network transport,Keyed on connection-reconfiguration signals (handover-aware),Transport congestion control algorithm plus emulation scripts,yes,,Emulation-scale evaluation,Emulation configs,CCA implementation and results,Mixed,MIT,active,Pushed 2026-01,2026-01,https://github.com/SpaceNetLab/LeoCC,ACM SIGCOMM 2025,"SpaceNetLab, Tsinghua University",Congestion control algorithm built for LEO handover dynamics with a public implementation.,sweep,2026-07,2026-07,LEO; Transport
LEOCraft,Simulator,,Flow-level (LP max-flow via Gurobi),LEO broadband,Parametric shells (+Grid ISL); Keplerian,ISL topology; route categories; throughput/latency/coverage,no,No,Multi-shell Starlink/Kuiper/Telesat scale,Python constellation params; GS datasets; traffic matrices,Throughput/stretch metrics; CSV; interactive 2D/3D HTML viz,Python,MIT,active,Yes (last push 2025-07; young),2025-07,https://suvambasak.github.io/LEOCraft/,USENIX ATC 2025,IIT Kanpur + MSR India (Basak; Bhattacherjee),Fast what-if constellation design evaluation; needs Gurobi academic license,dagstuhl,2026-07,2026-07,LEO
LeoEM,Emulator,,Path-level Mininet replay,LEO broadband,StarPerf-derived propagation; Starlink/Kuiper/Telesat shells,Precomputed paths; real-time delay/handover updates; real TCP/QUIC/apps,yes,Yes (Linux kernel in namespaces),Shell-scale propagation offline; one end-to-end path live,Constellation params; ground_stations.xlsx; precomputed paths,Route files; standard tools (iperf; pcap),Python,MIT,inactive,No (last push 2023-06; 136 stars),2023-06,https://github.com/XuyangCaoUCSD/LeoEM,IEEE INFOCOM 2023 (SaTCP),UC San Diego (Xuyang Cao; Xinyu Zhang),Single-path emulator not full constellation; SaTCP companion artifact,dagstuhl,2026-07,2026-07,LEO
leosatellites,Simulator,,LEO constellation library for OMNeT++/INET,LEO broadband,Walker-style params + SGP4/OS3 mobility; validated vs Hypatia,Mobility; ISL topology (igraph); INET TCP variants,no,No,Mega-constellation topologies,OMNeT++ NED/INI,OMNeT++ results,C++,GPL-3.0,active,Yes (last push 2026-04; 81 stars),2026-04,https://github.com/Avian688/leosatellites,OMNeT++ Summit 2021 (arXiv:2109.12046),Valentine/Parisis (Univ. Sussex),the maintained OMNeT++ LEO baseline; foundation of FLoRaSat,sweep,2026-07,2026-07,LEO
LEOScope,Testbed,,Global field testbed over commercial LEO,LEO broadband (Starlink),N/A (real satellites),Real end-to-end links; containerized experiment workloads; terminal telemetry,yes,Yes (real networks),10s of nodes; 5 continents,Experiment specs (cron + Docker images) via portal/CLI,Logs to Azure Blob; public dashboard; LEO link profiles,Python,MIT,active,Yes (last push 2026-06),2026-06,https://leoscope.surrey.ac.uk/,ACM SIGCOMM CCR 2025,Univ. of Surrey + Microsoft Research,"""PlanetLab for Starlink""; access on request with per-node tokens",dagstuhl,2026-07,2026-07,LEO
